Product ASIN,Clicks,Indirect Items Ordered,Direct Items Ordered,Items Ordered,Product Conversion Rate,Ordered Revenue,Direct Conversion Rate,Commission Rate,Items Shipped,Items Returned,Items Shipped Revenue,Items Shipped Earnings,Items Returned Revenue,Items Returned Earnings,Total Earnings,Time Period
B0CJXKM6JY,"1,305",-,-,109,8.35%,"$1,931.03",-,2.96%,109,2,"$1,931.03",$57.16,$38.73,$1.26,$55.90,2026
HOBBYLOBBY,339,-,-,76,22.42%,"$1,797.78",-,3.19%,76,2,"$1,797.78",$57.42,$87.48,$3.02,$54.40,2026
B0DZGW5B4S,140,-,-,60,42.86%,"$1,446.96",-,3.16%,75,3,"$1,753.88",$55.45,$53.90,$1.10,$54.35,2026
B0009F4YR6,"1,003",-,-,85,8.47%,"$1,783.29",-,3.05%,85,1,"$1,783.29",$54.44,$6.99,$0.21,$54.23,2026
B07Q5K1RKJ,"1,373",-,-,100,7.28%,"$1,767.70",-,3.22%,100,4,"$1,767.70",$56.94,$80.85,$3.16,$53.78,2026
B0FMBQNSPG,646,-,-,80,12.38%,"$1,527.70",-,3.56%,78,1,"$1,503.78",$53.51,$7.99,$0.24,$53.27,2026
B0CBSZR9NF,97,-,-,42,43.30%,$762.75,-,3.27%,75,1,"$1,631.00",$53.39,$9.95,$0.30,$53.09,2026
B0CNKZ4RLL,730,-,-,77,10.55%,"$1,687.81",-,3.17%,77,3,"$1,687.81",$53.42,$63.31,$2.05,$51.37,2026
B0DP2PFGMH,888,-,-,109,12.27%,"$1,611.99",-,3.36%,109,7,"$1,611.99",$54.11,$80.17,$2.85,$51.26,2026
B0DHGNNV2R,"1,111",-,-,77,6.93%,"$1,565.24",-,3.39%,76,2,"$1,544.06",$52.32,$52.48,$2.00,$50.32,2026
B0F6V3SY9S,"1,132",-,-,88,7.77%,"$1,746.31",-,3.04%,88,4,"$1,746.31",$53.17,$81.00,$3.04,$50.13,2026
B0G67H96JP,724,-,-,88,12.15%,"$1,745.17",-,3.01%,84,1,"$1,700.80",$51.11,$35.99,$1.44,$49.67,2026
B00CQGTGXS,"1,194",-,-,103,8.63%,"$1,666.10",-,3.03%,103,2,"$1,666.10",$50.56,$24.17,$0.90,$49.66,2026
B0CTTXHWL4,930,-,-,91,9.78%,"$1,508.14",-,3.24%,91,0,"$1,508.14",$48.89,$0.00,$0.00,$48.89,2026
B01BQBE4ZS,970,-,-,96,9.90%,"$1,873.87",-,2.76%,93,3,"$1,840.90",$50.88,$66.93,$2.75,$48.13,2026
B00P2SL4TQ,"1,324",-,-,104,7.85%,"$1,702.04",-,3.28%,104,5,"$1,702.04",$55.85,$198.95,$7.96,$47.89,2026
B0CVP6WJMF,807,-,-,93,11.52%,"$1,642.49",-,3.16%,93,8,"$1,642.49",$51.85,$111.42,$4.29,$47.56,2026
63445190,636,-,-,77,12.11%,"$1,616.98",-,3.40%,76,5,"$1,605.04",$54.52,$174.19,$7.07,$47.45,2026
B0DQM4LNYV,909,-,-,87,9.57%,"$1,278.32",-,3.11%,101,4,"$1,583.06",$49.17,$48.67,$1.82,$47.35,2026
B0GC2HW7VR,"1,210",-,-,86,7.11%,"$1,514.38",-,3.17%,84,0,"$1,493.90",$47.30,$0.00,$0.00,$47.30,2026
B0D8XLC5TR,859,-,-,77,8.96%,"$1,680.91",-,2.87%,77,4,"$1,680.91",$48.16,$48.96,$1.61,$46.55,2026
B09BFXB9N6,"1,304",-,-,92,7.06%,"$1,790.42",-,2.76%,90,2,"$1,710.73",$47.29,$41.98,$1.46,$45.83,2026
B07H64LTNN,"1,202",-,-,103,8.57%,"$1,690.21",-,2.82%,103,2,"$1,690.21",$47.71,$59.68,$2.14,$45.57,2026
B0FGCFWFWR,827,-,-,84,10.16%,"$1,607.76",-,3.00%,83,6,"$1,580.00",$47.39,$60.06,$2.08,$45.31,2026
B0CLYB9JL4,847,-,-,73,8.62%,"$1,554.89",-,2.94%,73,1,"$1,554.89",$45.77,$18.23,$0.55,$45.22,2026
B0FHB9B53J,"1,390",-,-,74,5.32%,"$1,679.58",-,3.04%,69,5,"$1,616.87",$49.11,$112.96,$3.91,$45.20,2026
B0D8SD9WZH,711,-,-,65,9.14%,"$1,607.38",-,3.17%,65,7,"$1,607.38",$50.88,$167.42,$6.24,$44.64,2026
B0FL7L7NPD,64,-,-,31,48.44%,$438.53,-,2.93%,96,2,"$1,483.91",$43.55,$11.98,$0.36,$43.19,2026
B08P53Z1GK,801,-,-,77,9.61%,"$1,227.49",-,3.70%,77,5,"$1,227.49",$45.38,$58.97,$2.31,$43.07,2026
B000J07BRQ,589,-,-,93,15.79%,"$1,381.99",-,3.65%,93,10,"$1,381.99",$50.51,$240.96,$8.41,$42.10,2026
B0DCD2FH7Y,849,-,-,101,11.90%,"$1,626.46",-,2.91%,101,7,"$1,626.46",$47.25,$150.93,$5.26,$41.99,2026
B0CLHD2HHP,962,-,-,73,7.59%,"$1,273.65",-,3.52%,72,1,"$1,173.67",$41.26,$23.98,$0.96,$40.30,2026
B08P53HWGP,"1,018",-,-,74,7.27%,"$1,281.65",-,3.12%,74,0,"$1,281.65",$39.96,$0.00,$0.00,$39.96,2026
B0FHX3R5GX,146,-,-,63,43.15%,"$1,013.88",-,2.78%,93,3,"$1,556.94",$43.36,$145.37,$4.36,$39.00,2026
B0D84T68G6,605,-,-,73,12.07%,"$1,045.50",-,3.96%,73,4,"$1,045.50",$41.44,$70.45,$3.03,$38.41,2026
B0F67FW29L,758,-,-,95,12.53%,"$1,442.21",-,3.09%,77,0,"$1,240.23",$38.31,$0.00,$0.00,$38.31,2026
B0CT7HZJ3R,882,-,-,75,8.50%,"$1,324.34",-,3.17%,75,3,"$1,324.34",$42.02,$118.06,$4.00,$38.02,2026
B0G2365DPR,438,-,-,78,17.81%,"$1,214.26",-,3.26%,78,3,"$1,214.26",$39.55,$58.60,$2.34,$37.21,2026
B0G5YWMQDT,"1,908",-,-,90,4.72%,"$1,458.89",-,3.08%,90,8,"$1,458.89",$44.96,$235.66,$8.76,$36.20,2026
B0FVXVQ824,841,-,-,72,8.56%,"$1,193.74",-,3.03%,72,1,"$1,193.74",$36.18,$6.99,$0.28,$35.90,2026
B0C68MD94X,642,-,-,75,11.68%,"$1,245.43",-,3.21%,74,3,"$1,239.01",$39.78,$99.12,$3.96,$35.82,2026
B0FJPNP9ZL,977,-,-,98,10.03%,"$1,382.99",-,2.69%,98,2,"$1,382.99",$37.18,$43.08,$1.46,$35.72,2026
310747333,491,-,-,113,23.01%,"$1,116.81",-,3.59%,112,2,"$1,036.91",$37.20,$38.97,$1.62,$35.58,2026
B0BQM4RM4F,844,-,-,102,12.09%,"$1,221.48",-,3.20%,102,6,"$1,221.67",$39.05,$103.88,$3.76,$35.29,2026
B0G3CZ6SW1,"1,074",-,-,85,7.91%,"$1,246.04",-,2.83%,85,1,"$1,246.04",$35.30,$13.99,$0.56,$34.74,2026
B0CL9R7R8N,956,-,-,69,7.22%,"$1,121.13",-,3.30%,68,3,"$1,112.66",$36.71,$58.97,$1.97,$34.74,2026
B0CM3NGMZQ,"1,090",-,-,77,7.06%,"$1,324.14",-,2.91%,74,3,"$1,280.77",$37.23,$72.28,$2.89,$34.34,2026
B0G457ZBW2,788,-,-,89,11.29%,"$1,317.41",-,2.99%,89,10,"$1,317.41",$39.40,$148.39,$5.28,$34.12,2026
B09ZN1FQ4F,"1,072",-,-,73,6.81%,"$1,141.13",-,2.99%,73,1,"$1,142.48",$34.16,$6.99,$0.28,$33.88,2026
B0DR3T9R39,437,-,-,70,16.02%,"$1,096.67",-,3.21%,69,2,"$1,085.68",$34.86,$64.63,$1.14,$33.72,2026
B0747ZC625,391,-,-,119,30.43%,"$1,568.62",-,1.92%,139,1,"$1,785.34",$34.27,$15.97,$0.64,$33.63,2026
B013RQPB5C,709,-,-,94,13.26%,"$1,176.27",-,3.21%,94,5,"$1,176.27",$37.72,$100.78,$4.84,$32.88,2026
B0CRV4GWQZ,559,-,-,77,13.77%,"$1,096.64",-,2.89%,77,1,"$1,096.64",$31.64,$24.99,$0.75,$30.89,2026
B0DTLVMFG4,540,-,-,75,13.89%,"$1,067.90",-,3.12%,71,0,$981.54,$30.63,$0.00,$0.00,$30.63,2026
B09QL1YT41,776,-,-,67,8.63%,"$1,042.07",-,3.23%,66,6,"$1,035.08",$33.48,$76.86,$3.09,$30.39,2026
B0DRDJZS82,670,-,-,73,10.90%,"$1,111.14",-,2.87%,73,6,"$1,111.14",$31.88,$40.11,$1.51,$30.37,2026
62414135,442,-,-,86,19.46%,$795.42,-,3.77%,85,1,$787.64,$29.68,$7.78,$0.35,$29.33,2026
B0DNZ5MHDR,849,-,-,79,9.31%,"$1,147.38",-,2.94%,79,4,"$1,147.38",$33.75,$136.96,$4.75,$29.00,2026
B0BP5ZQ879,538,-,-,68,12.64%,$949.89,-,3.07%,68,3,$964.56,$29.62,$41.97,$1.68,$27.94,2026
B0D6D4K2G8,"1,022",-,-,81,7.93%,"$1,145.56",-,2.38%,81,0,"$1,145.56",$27.31,$0.00,$0.00,$27.31,2026
B0DQDWMB92,751,-,-,76,10.12%,$951.08,-,3.00%,75,0,$911.01,$27.31,$0.00,$0.00,$27.31,2026
B0DK2B8F3P,470,-,-,67,14.26%,$908.05,-,3.29%,67,7,$908.05,$29.91,$75.39,$3.25,$26.66,2026
B0FMYST4JS,683,-,-,58,8.49%,$867.83,-,3.15%,58,2,$867.83,$27.30,$23.48,$0.86,$26.44,2026
B0CNR9XYP4,577,-,-,73,12.65%,$945.77,-,3.13%,73,2,$945.77,$29.61,$83.99,$3.17,$26.44,2026
B0CP42KX1R,466,-,-,95,20.39%,$908.66,-,2.97%,95,1,$908.66,$27.01,$32.45,$1.30,$25.71,2026
B0BNNVT2VH,562,-,-,82,14.59%,"$1,125.41",-,2.10%,91,3,"$1,339.38",$28.18,$83.97,$2.72,$25.46,2026
B07THDP4KZ,10,-,-,24,240.00%,$352.11,-,2.34%,77,4,"$1,140.65",$26.71,$71.87,$1.92,$24.79,2026
B0DYLBWV95,457,-,-,84,18.38%,"$1,205.40",-,2.06%,84,1,"$1,205.40",$24.86,$9.80,$0.10,$24.76,2026
B07ZGHZVRY,928,-,-,81,8.73%,"$1,031.88",-,2.41%,81,1,"$1,031.88",$24.84,$17.85,$0.71,$24.13,2026
B0DPR78B37,660,-,-,76,11.52%,"$1,035.89",-,2.39%,73,0,"$1,000.82",$23.87,$0.00,$0.00,$23.87,2026
B096T141KR,471,-,-,119,25.27%,$903.61,-,2.81%,119,3,$903.61,$25.38,$89.89,$3.10,$22.28,2026
B0FMFBRTWT,35,-,-,19,54.29%,$356.67,-,3.13%,51,15,"$1,174.18",$36.80,$439.69,$14.52,$22.28,2026
310747511,369,-,-,86,23.31%,$603.26,-,3.52%,86,1,$603.26,$21.24,$7.19,$0.29,$20.95,2026
B09MVMNW5M,350,-,-,80,22.86%,$737.81,-,2.68%,80,0,$737.81,$19.79,$0.00,$0.00,$19.79,2026
B0CSP8J6BM,343,-,-,72,20.99%,$699.16,-,2.84%,72,3,$699.16,$19.86,$11.91,$0.12,$19.74,2026
B0DL2LVM8Z,767,-,-,114,14.86%,"$1,124.70",-,1.79%,114,3,"$1,124.70",$20.18,$19.85,$0.73,$19.45,2026
B0FCHNHX17,805,-,-,63,7.83%,$888.11,-,2.88%,65,13,$911.09,$26.26,$221.54,$7.27,$18.99,2026
B00HC7633C,764,-,-,82,10.73%,$998.21,-,2.21%,75,3,$927.21,$20.51,$99.47,$3.06,$17.45,2026
